id,location_cd,status_cd,type_id,street_address1,street_address2,city,postal_cd,created_user_id,created_datetime,updated_user_id,updated_datetime,region_id,latitude,longitude,time_zone,temperature_scale,country_part,country_cd
100001,0001,A,165,66 OTTAWA ST N,NULL,HAMILTON,L8J 3Y9,1,2018-06-29 04:35:39.597,1,2018-07-19 05:00:32.000,NULL,43.244608,-79.819167,America/Toronto,C,544,CA
100002,0002,A,170,473 CONCESSION ST,NULL,HAMILTON,L9A 1C1,1,2018-06-05 04:25:42.363,1598866,2018-06-05 04:25:42.000,NULL,43.241981,-79.855536,America/Toronto,C,544,CA
100004,0004,A,165,951 KING STREET WEST,NULL,HAMILTON,L8S 1K9,1,2018-06-05 04:25:42.807,1598866,2018-06-05 04:25:43.000,NULL,43.262841,-79.903208,America/Toronto,C,544,CA
100005,0005,A,165,434 PLAINS ROAD E,NULL,BURLINGTON,L7T 2E1,1,2018-07-06 20:05:35.973,1598866,2018-07-06 20:05:36.000,NULL,43.317255,-79.838211,America/Toronto,C,544,CA
100006,0006,A,160,894 UPPER JAMES ST S,NULL,HAMILTON,L9C 3A5,1,2018-06-10 19:46:30.673,1598866,2018-06-10 19:46:31.000,NULL,43.226290,-79.883274,America/Toronto,C,544,CA
100008,0008,A,170,80 KING GEORGE ROAD,NULL,BRANTFORD,N3R 5K4,1,2018-06-05 04:25:43.540,1598866,2018-06-05 04:25:43.000,NULL,43.165434,-80.274935,America/Toronto,C,544,CA
100009,0009,A,170,275 WATER STREET N,NULL,CAMBRIDGE,N1R 3B9,1,2018-07-04 14:15:05.613,1598866,2018-07-04 14:15:06.000,NULL,43.372341,-80.318049,America/Toronto,C,544,CA
100010,0010,A,170,120 OTTAWA STREET,NULL,KITCHENER,N2H 3K4,1,2018-06-30 15:54:42.400,1598866,2018-06-30 15:54:42.000,NULL,43.443531,-80.469336,America/Toronto,C,544,CA
100011,0011,A,170,1233 BROOKDALE AVE,NULL,CORNWALL,K6J 4P7,1,2018-07-14 11:48:03.340,1598866,2018-07-14 11:48:03.000,NULL,45.028287,-74.752336,America/Toronto,C,544,CA
100012,0012,A,170,563 NIAGARA STREET N,NULL,WELLAND,L3C 1L7,1,2018-07-14 16:42:17.067,1598866,2018-07-14 16:42:17.000,NULL,43.006341,-79.252456,America/Toronto,C,544,CA
