id	location_cd	status_cd		type_id	street_address1	street_address2	city	postal_cd	created_user_id	created_datetime	updated_user_id	updated_datetime	region_id	latitude	longitude	time_zone	temperature_scale	country_part	country_cd
100001	1	A	#N/A	165	65 OTTAWA ST N	NULL	HAMILTON	L8J 3Y9	1	35:39.6	1671191	22:23.0	NULL	43.244608	-79.819167	America/Toronto	C	544	CA
100002	2	A	#N/A	170	473 CONCESSION ST	NULL	HAMILTON	L9A 1C1	1	25:42.4	1671191	37:18.0	NULL	43.241981	-79.855536	America/Toronto	C	544	CA
100004	4	A	#N/A	165	951 KING STREET WEST	NULL	HAMILTON	L8S 1K9	1	25:42.8	1671191	37:28.0	NULL	43.262841	-79.903208	America/Toronto	C	544	CA
100005	5	A	#N/A	165	434 PLAINS ROAD E	NULL	BURLINGTON	L7T 2E1	1	05:36.0	1671191	37:30.0	NULL	43.317255	-79.838211	America/Toronto	C	544	CA
100006	6	A	#N/A	160	894 UPPER JAMES ST S	NULL	HAMILTON	L9C 3A5	1	46:30.7	1671191	37:38.0	NULL	43.22629	-79.883274	America/Toronto	C	544	CA
100008	8	A	#N/A	170	80 KING GEORGE ROAD	NULL	BRANTFORD	N3R 5K4	1	25:43.5	1671191	37:41.0	NULL	43.165434	-80.274935	America/Toronto	C	544	CA
100009	9	A	#N/A	170	275 WATER STREET N	NULL	CAMBRIDGE	N1R 3B9	1	15:05.6	1671191	37:48.0	NULL	43.372341	-80.318049	America/Toronto	C	544	CA
100010	10	A	#N/A	170	120 OTTAWA STREET	NULL	KITCHENER	N2H 3K4	1	54:42.4	1671191	01:30.0	NULL	43.443531	-80.469336	America/Toronto	C	544	CA
100011	11	A	#N/A	170	1233 BROOKDALE AVE	NULL	CORNWALL	K6J 4P7	1	52:36.3	1671191	37:57.0	NULL	45.028287	-74.752336	America/Toronto	C	544	CA
100012	12	A	#N/A	170	563 NIAGARA STREET N	NULL	WELLAND	L3C 1L7	1	18:08.5	1598866	18:08.0	NULL	43.006341	-79.252456	America/Toronto	C	544	CA
100013	13	A	#N/A	170	169 NORTH FRONT STREET	NULL	BELLEVILLE	K8P 3B7	1	07:55.6	1598866	07:56.0	NULL	44.177655	-77.39063	America/Toronto	C	544	CA
100014	14	A	#N/A	170	525 WELLAND AVE	NULL	ST CATHARINES	L2M 6P3	1	25:47.5	1598866	25:47.0	NULL	43.175483	-79.214537	America/Toronto	C	544	CA
100015	15	A	#N/A	165	681 PRINCESS STREET	NULL	KINGSTON	K7L 1E8	1	23:35.6	1598866	23:35.0	NULL	44.238921	-76.505602	America/Toronto	C	544	CA
100016	16	A	#N/A	165	675 MOHAWK ROAD EAST	NULL	HAMILTON	L8V 2K6	1	24:48.5	1671191	38:50.0	NULL	43.219693	-79.843921	America/Toronto	C	544	CA
100017	17	I	#N/A	165	135 TRAFALGAR RD	NULL	OAKVILLE	L6J 3G4	1	43:50.9	1	43:50.9	NULL	43.448227	-79.667984	America/Toronto	C	544	CA
100018	18	A	#N/A	170	942 DUNDAS STREET	NULL	WOODSTOCK	N4S 1H3	1	31:22.3	1598866	31:22.0	NULL	43.133185	-80.733011	America/Toronto	C	544	CA
100019	19	A	#N/A	165	1554 MAIN ST WEST	NULL	HAMILTON	L8S 1E5	1	13:47.6	1598866	13:48.0	NULL	43.257929	-79.925562	America/Toronto	C	544	CA
100020	20	A	#N/A	170	853 THE QUEENSWAY	NULL	ETOBICOKE	M8Z 1N6	1	02:38.5	1598866	02:38.0	NULL	43.62459	-79.509589	America/Toronto	C	544	CA
100022	22	I	#N/A	165	2401 EGLINTON AVE E	NULL	SCARBOROUGH	M1K 2N8	1	43:50.9	1	43:50.9	NULL	43.73196	-79.268143	America/Toronto	C	544	CA
100023	23	A	#N/A	235	"25 THE WEST MALL UNIT F0001, SHERWAY GDNS"	NULL	ETOBICOKE	M9C 1B8	1	55:13.7	1671191	13:29.0	NULL	43.613095	-79.558825	America/Toronto	C	544	CA
