Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/home/,1,279,279,279,0.00,0.000%,3.58423,3.65,0.00,1043.0
/auth/oauth/token,1,94,94,94,0.00,0.000%,10.63830,6.17,0.00,594.0
ReadMe,1,132,132,132,0.00,0.000%,7.57576,37.50,0.00,5069.0
readAllForMe,1,127,127,127,0.00,0.000%,7.87402,25.51,0.00,3318.0
SearchUser,1,451,451,451,0.00,0.000%,2.21729,11.64,0.00,5374.0
Home,1,129,129,129,0.00,0.000%,7.75194,22.76,0.00,3006.0
/svc/service/msl,1,2084,2084,2084,0.00,0.000%,.47985,2.62,0.00,5587.0
/svc/service/msl/cfg,1,81,81,81,0.00,0.000%,12.34568,5.03,0.00,417.0
/MicroStrategyLibrary/api/auth/delegate,2,94,31,157,63.00,50.000%,10.58201,5.65,8.46,546.5
Request API,1,295,295,295,0.00,0.000%,3.38983,538.95,0.00,162806.0
main.css,1,26,26,26,0.00,0.000%,38.46154,18.03,0.00,480.0
en.js,1,37,37,37,0.00,0.000%,27.02703,294.47,0.00,11157.0
customization.js,1,30,30,30,0.00,0.000%,33.33333,29.04,0.00,892.0
mstrConfig.js,1,33,33,33,0.00,0.000%,30.30303,23.29,0.00,787.0
loadCustomCSS.js,1,35,35,35,0.00,0.000%,28.57143,18.81,0.00,674.0
mstrAppConfig.js,1,47,47,47,0.00,0.000%,21.27660,19.99,0.00,962.0
modernizr.js,1,29,29,29,0.00,0.000%,34.48276,137.36,0.00,4079.0
hammer.min.js,1,35,35,35,0.00,0.000%,28.57143,214.37,0.00,7683.0
ssf.js,1,31,31,31,0.00,0.000%,32.25806,295.77,0.00,9389.0
itaraSimpleKPIChartLibrary,1,118,118,118,0.00,0.000%,8.47458,1026.67,0.00,124054.0
VitaraMicroChartLibrary,1,89,89,89,0.00,0.000%,11.23596,1361.20,0.00,124054.0
VitaraHCWordCloudLibrary,1,73,73,73,0.00,0.000%,13.69863,1659.54,0.00,124054.0
VitaraHCWaterfallChartLibrary,1,71,71,71,0.00,0.000%,14.08451,1706.29,0.00,124054.0
VitaraHCTrellisChartLibrary,1,57,57,57,0.00,0.000%,17.54386,2125.38,0.00,124054.0
VitaraHCTornadoChartLibrary,1,60,60,60,0.00,0.000%,16.66667,2019.11,0.00,124054.0
VitaraHCStackedColumnChartLibrary,1,66,66,66,0.00,0.000%,15.15152,1835.55,0.00,124054.0
VitaraHCStackedBarChartLibrary,1,63,63,63,0.00,0.000%,15.87302,1922.96,0.00,124054.0
VitaraHCSparklineChartLibrary,1,68,68,68,0.00,0.000%,14.70588,1781.57,0.00,124054.0
VitaraHCSpacerChartLibrary,1,78,78,78,0.00,0.000%,12.82051,1553.16,0.00,124054.0
itaraHCSlopeChartLibrary,1,81,81,81,0.00,0.000%,12.34568,1495.64,0.00,124054.0
VitaraHCSankeyChartLibrary,1,65,65,65,0.00,0.000%,15.38462,1863.79,0.00,124054.0
VitaraHCPieChartLibrary,1,66,66,66,0.00,0.000%,15.15152,1835.55,0.00,124054.0
VitaraHCMekkoChartLibrary,1,61,61,61,0.00,0.000%,16.39344,1986.01,0.00,124054.0
VitaraHCLineChartLibrary,1,62,62,62,0.00,0.000%,16.12903,1953.98,0.00,124054.0
