timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1568202806816,3,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,20,0,1,1,null,0,0,0
1568202806820,388,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,388,0,0
1568202807209,85,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,596,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,85,0,0
1568202807295,136,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6599,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,135,0,0
1568202807431,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1930,0,0,0,null,0,0,0
1568202807734,95,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0130?_l=en,95,0,0
1568202808134,1455,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4512,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0130vanessab,1455,0,0
1568202809589,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,1984,0,0,0,null,0,0,0
1568202809893,947,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1627543/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,947,0,0
1568202811143,635,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1627543/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,635,0,0
1568202811779,1,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202811780,66,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,66,0,0
1568202811846,105,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,594,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,105,0,0
1568202811951,101,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6653,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,101,0,0
1568202812052,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1984,0,0,0,null,0,0,0
1568202812358,117,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0133?_l=en,117,0,0
1568202812776,1470,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,2520,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=3370Farhad,1470,0,0
1568202814246,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2036,0,0,0,null,0,0,0
1568202814549,85,ApproveCoursesTHSTGStage1,404,Not Found,Thread-Gruppe 1-1,text,false,,1413,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners//courses/force?_d=&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,85,0,0
1568202814936,86,ApproveCoursesTHSTGStage2,404,Not Found,Thread-Gruppe 1-1,text,false,,1413,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners//courses/force?_d=&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,86,0,0
1568202815023,2,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202815025,63,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,63,0,0
1568202815089,105,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,597,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,105,0,0
1568202815195,99,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6648,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,97,0,0
1568202815294,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1979,0,0,0,null,0,0,0
1568202815595,94,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0134?_l=en,94,0,0
1568202815993,1578,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4564,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=Karamjitkaur1,1577,0,0
1568202817571,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2034,0,0,0,null,0,0,0
1568202817875,1568,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1308625/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1568,0,0
1568202819746,720,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1308625/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,720,0,0
1568202820466,2,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202820468,65,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,65,0,0
1568202820533,99,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,594,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,99,0,0
1568202820633,101,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6654,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,100,0,0
1568202820734,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1985,0,0,0,null,0,0,0
1568202821035,91,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0135?_l=en,91,0,0
1568202821431,1597,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4571,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0135PLuedee,1596,0,0
1568202823027,1,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2038,0,0,0,null,0,0,0
1568202823329,1489,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/134477/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1489,0,0
1568202825123,545,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/134477/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,545,0,0
1568202825669,2,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202825672,64,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,64,0,0
1568202825736,119,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,596,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,119,0,0
1568202825856,103,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6651,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,102,0,0
1568202825959,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1982,0,0,0,null,0,0,0
1568202826264,129,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0136?_l=en,129,0,0
1568202826695,1356,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4587,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0136khatt,1355,0,0
1568202828051,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2033,0,0,0,null,0,0,0
1568202828357,1412,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1009261/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1412,0,0
1568202830075,733,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1009261/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,733,0,0
1568202830809,3,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202830812,70,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,70,0,0
1568202830883,93,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,597,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,93,0,0
1568202830976,100,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6653,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,99,0,0
1568202831075,1,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1984,0,0,0,null,0,0,0
1568202831381,84,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0137?_l=en,84,0,0
1568202831767,1396,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,2520,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0137Safrin,1395,0,0
1568202833163,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2036,0,0,0,null,0,0,0
1568202833464,113,ApproveCoursesTHSTGStage1,404,Not Found,Thread-Gruppe 1-1,text,false,,1413,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners//courses/force?_d=&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,113,0,0
1568202833881,87,ApproveCoursesTHSTGStage2,404,Not Found,Thread-Gruppe 1-1,text,false,,1413,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners//courses/force?_d=&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,87,0,0
1568202833970,2,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,21,0,1,1,null,0,0,0
1568202833972,61,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,61,0,0
1568202834034,90,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,596,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,90,0,0
1568202834125,114,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6644,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,113,0,0
1568202834239,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1975,0,0,0,null,0,0,0
1568202834544,96,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0140?_l=en,95,0,0
1568202834945,1394,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4433,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0140BHaas,1393,0,0
1568202836338,1,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2026,0,0,0,null,0,0,0
1568202836641,1232,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1112243/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1232,0,0
1568202838179,616,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1112243/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,616,0,0
1568202838798,2,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202838800,59,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,59,0,0
1568202838859,94,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,596,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,94,0,0
1568202838954,100,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6654,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,99,0,0
1568202839054,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1985,0,0,0,null,0,0,0
1568202839355,106,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0141?_l=en,106,0,0
1568202839762,1492,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,2522,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0141JJBoies,1491,0,0
1568202841254,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2038,0,0,0,null,0,0,0
1568202841555,93,ApproveCoursesTHSTGStage1,404,Not Found,Thread-Gruppe 1-1,text,false,,1413,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners//courses/force?_d=&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,93,0,0
1568202841949,355,ApproveCoursesTHSTGStage2,404,Not Found,Thread-Gruppe 1-1,text,false,,1413,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners//courses/force?_d=&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,355,0,0
1568202842305,1,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202842307,63,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,63,0,0
1568202842370,105,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,596,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,105,0,0
1568202842476,145,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6645,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,92,0,0
1568202842621,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1976,0,0,0,null,0,0,0
1568202842924,89,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0142?_l=en,89,0,0
1568202843318,1520,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4455,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=2919jsilva,1519,0,0
1568202844838,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2028,0,0,0,null,0,0,0
1568202845139,1647,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/105142/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1647,0,0
1568202847089,718,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/105142/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,718,0,0
1568202847808,1,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202847810,62,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,62,0,0
1568202847873,107,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,595,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,107,0,0
1568202847980,157,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6653,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,102,0,0
1568202848137,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1984,0,0,0,null,0,0,0
1568202848437,96,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0144?_l=en,96,0,0
1568202848835,1431,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4528,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0085serrano,1430,0,0
1568202850264,1,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2037,0,0,0,null,0,0,0
1568202850567,1070,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1107494/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1070,0,0
1568202851939,577,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1107494/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,577,0,0
1568202852516,2,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568202852519,63,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,63,0,0
1568202852583,90,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,596,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,90,0,0
1568202852674,88,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6654,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,87,0,0
