timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1568211743848,31,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568211743885,475,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,473,0,0
1568211744361,147,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,595,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,147,0,0
1568211744528,121,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6803,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,110,0,0
1568211744648,1,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1931,0,0,0,null,0,0,0
1568211744951,87,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0206?_l=en,87,0,0
1568211745343,1517,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4523,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0206SMacLeod,1515,0,0
1568211746859,1,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,1985,0,0,0,null,0,0,0
1568211747166,1146,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1038052/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1146,0,0
1568211748616,569,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1038052/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,569,0,0
1568211749186,8,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568211749194,66,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,66,0,0
1568211749261,109,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,595,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,109,0,0
1568211749372,128,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6860,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,124,0,0
1568211749500,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1988,0,0,0,null,0,0,0
1568211749801,90,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0208?_l=en,90,0,0
1568211750193,1697,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4620,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=casilanhector,1696,0,0
1568211751890,0,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2043,0,0,0,null,0,0,0
1568211752192,1644,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1104687/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1644,0,0
1568211754137,698,ApproveCoursesTHSTGStage2,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1104687/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,698,0,0
1568211754837,5,RequestHelper,200,OK,Thread-Gruppe 1-1,text,true,,22,0,1,1,null,0,0,0
1568211754843,49,/home/,200,OK,Thread-Gruppe 1-1,text,true,,1050,0,1,1,https://test.timhortonstapp.com/home/,49,0,0
1568211754893,103,/auth/oauth/token,200,OK,Thread-Gruppe 1-1,text,true,,596,0,1,1,https://test.timhortonstapp.com/auth/oauth/token,103,0,0
1568211754998,96,ReadMe,200,OK,Thread-Gruppe 1-1,text,true,,6857,0,1,1,https://test.timhortonstapp.com/svc/service/user/me?_l=en,92,0,0
1568211755094,0,ReadMe-0,200,OK,Thread-Gruppe 1-1,text,true,,1985,0,0,0,null,0,0,0
1568211755399,110,DisplayLocation,200,OK,Thread-Gruppe 1-1,text,true,,403,0,1,1,https://test.timhortonstapp.com/svc/service/location/lookregion/code/0209?_l=en,110,0,0
1568211755813,1807,SearchUser,200,OK,Thread-Gruppe 1-1,text,true,,4541,0,1,1,https://test.timhortonstapp.com/svc/service/user?_d=1&_l=en&_u=1518148&page=1&results=20&statusCd=A&username=0209rnazli,1805,0,0
1568211757619,1,SearchUser-0,200,OK,Thread-Gruppe 1-1,text,true,,2037,0,0,0,null,0,0,0
1568211757923,1466,ApproveCoursesTHSTGStage1,200,OK,Thread-Gruppe 1-1,,true,,330,0,1,1,https://test.timhortonstapp.com/svc/service/lms/learners/1027266/courses/force?_d=1&_l=en&_u=1518148&reason=test&reasonCd=ADMIN&userId=1518148,1466,0,0
