username,user_id,role_cd,time_zone,location_cd,country_cd
aaisola,1588547,CORP_FIN,America/Toronto,1,CA
jsiskroehle,1391726,CORP_FIN,America/Toronto,2,CA
jechen,1383905,CORP_FIN,America/Toronto,5,CA
lchavesMFP,1673957,MFP,America/Toronto,8,CA
jlines,1570535,MOS,America/Toronto,9,CA
lobrien,1371256,MFP,America/Toronto,12,CA
TDLD259,100016,MFP,America/Toronto,13,CA
anmolsingh,1569155,MOS,America/Toronto,23,CA
jcolville,1332807,MOS,America/Toronto,31,CA
SMcanulty,1535976,CORP,America/Toronto,32,CA
aimeuv,1247822,MFP,America/Toronto,35,CA
rtobin,1548788,MFP,America/Moncton,43,CA
d.varjacic,1719895,MFP,America/Toronto,46,CA
kfowler,1802967,MFP,America/Edmonton,49,CA
msabinski,1325293,MFP,America/Halifax,65,CA
ignatiuscheng,1561030,MOS,America/Vancouver,87,CA
TDLD110,109307,MRM,America/Toronto,112,CA
whuang,1541131,MOS,America/Vancouver,115,CA
jkopytko,318801,MRM,America/Winnipeg,118,CA
MRT0626,109325,CORP,America/Montreal,125,CA
MOST761,117637,MOS,America/Montreal,128,CA
TDLD147,107874,MFP,America/Toronto,129,CA
Ghardeep,1475830,CORP_FIN,America/Montreal,133,CA
sshukrun,1589497,MOS,America/Montreal,141,CA
adhamrait-GPS,1636266,CORP_FIN,America/Toronto,148,CA
DElsiblani,1244292,MFP,America/Toronto,151,CA
abgorial,100396,MFP,America/Toronto,164,CA
Fsalham,1600228,MFP,America/Edmonton,179,CA
i.touzzelti,1552475,CORP_FIN,America/Montreal,189,CA
TDLD184,105586,DIR_OPS,America/Montreal,218,CA
tatumgunn,1310819,CORP,America/Toronto,250,CA
jvopatMFP,1692508,MFP,America/Edmonton,283,CA
richardsun,1313109,MFP,America/Vancouver,322,CA
TDLD504,1102347,DIR_OPS,America/Halifax,351,CA
0518CMillson,194648,CORP,America/Toronto,518,CA
sgallant,1530577,MFP,America/Moncton,550,CA
0667BMacDonald,1118347,CORP,America/Halifax,667,CA
osoliman,1558228,MFP,America/Halifax,676,CA
rhamzo,1066450,MFP,America/Montreal,698,CA
0757ACampbell,1710314,CORP,America/Montreal,757,CA
sboileau,1568085,MFP,America/Halifax,766,CA
Cclarke2016,1505180,CORP_ADV,America/St_Johns,776,CA
a.choong,1821395,MFP,America/Toronto,930,CA
taylorj,1017546,CORP_ADV,America/Toronto,932,CA
apalanio,1519659,MOS,America/Toronto,979,CA
1074ADITYA,26379,CORP,America/Winnipeg,1074,CA
lqueenen,1633497,MOS,America/Toronto,1084,CA
miboutin,1558938,MFP,America/Montreal,1139,CA
Zawahiric,52623,CORP,America/Montreal,1200,CA
skandola,1484588,CORP,America/Vancouver,1224,CA
psantos,1541063,MOS,America/Toronto,1282,CA
TDLD264,1050443,MFP,America/Toronto,1298,CA
TDLD739,1261473,MOS,America/Vancouver,1305,CA
jcheeseman,1371522,DIR_OPS,America/Toronto,1404,CA
rpetrillo,100458,MRM,America/Toronto,1405,CA
benoitv,1531932,DIR_OPS,America/Toronto,1464,CA
E5000134,272499,CORP_FIN,America/Toronto,1507,CA
amberzhao,1592264,CORP_FIN,America/Toronto,1590,CA
gwilsonMFP,1702164,MFP,America/Vancouver,1681,CA
TDLD132,107906,MFP,America/Montreal,1707,CA
TDLD138,107943,MFP,America/Toronto,1712,CA
mehranMFP,1674700,MFP,America/Toronto,1740,CA
jghandhy01,1592520,MFP,America/Toronto,1769,CA
1796GGagne,294730,CORP,America/Toronto,1796,CA
TDLD180,100125,MRM,America/Vancouver,1803,CA
Mohammed111,1365670,MFP,America/Toronto,1894,CA
MOST591,1062168,CORP_ADV,America/Montreal,1974,CA
TDLD511,249613,MFP,America/Halifax,2135,CA
