username,user_id,role_cd,time_zone,location_cd,country_cd
0024sugantha,295370,ASSOCIATE,America/Toronto,24,CA
0037jsinning,1785235,ASSOCIATE,America/Toronto,37,CA
RMahar0277,207987,MUM,America/Halifax,71,CA
0073maharshi,1748410,ASSOCIATE,America/Toronto,73,CA
2583MBal,152428,SHIFT_LDR,America/Winnipeg,122,CA
0124PKummund,1791880,ASSOCIATE,America/Edmonton,124,CA
0137Safrin,1078182,ASSOCIATE,America/Toronto,137,CA
0271AKing,1307596,ASSOCIATE,America/Toronto,271,CA
1392EChymist,53220,ASSOCIATE,America/Moncton,273,CA
3067HydeA,1463541,SHIFT_LDR,America/Toronto,307,CA
3216ANoble,297318,REST_MGR,America/Vancouver,322,CA
324KUnger,1561873,ASSOCIATE,America/Toronto,324,CA
358mserajoseph,1332490,SHIFT_LDR,America/Edmonton,358,CA
0388ariel,1813815,ASSOCIATE,America/Regina,388,CA
407ECAJUCOM,1233277,ASSOCIATE,America/Vancouver,407,CA
422Witzel,1753949,ASSOCIATE,America/Toronto,422,CA
2314CGuintodan,1197055,ASSOCIATE,America/Toronto,424,CA
0458STANVEER,1821774,ASSOCIATE,America/Vancouver,458,CA
0473LSharman,144243,SHIFT_LDR,America/Toronto,473,CA
0488rbartraw,1740581,ASSOCIATE,America/Halifax,488,CA
0507MFagan2,1574572,ASSOCIATE,America/St_Johns,507,CA
Davidpendy,1820467,ASSOCIATE,America/Toronto,524,CA
0558ZDarveau,1676713,ASSOCIATE,America/Toronto,558,CA
0573KYoung,1812509,ASSOCIATE,America/Halifax,573,CA
0622CGruebele,1601226,ASSOCIATE,America/Toronto,622,CA
5095sen,1634516,ASSOCIATE,America/Montreal,624,CA
0237CEverill,1568685,ASSOCIATE,America/Halifax,658,CA
707FGarcia,1807308,ASSOCIATE,America/Toronto,707,CA
Romil25,1671967,ASSOCIATE,America/Toronto,709,CA
0722ctrainor,1675876,ASSOCIATE,America/Toronto,722,CA
0758HShaddick,101893,MUM,America/Moncton,758,CA
807Christian,1734563,ASSOCIATE,America/Toronto,807,CA
0809lwalsh,1543050,ASSOCIATE,America/Vancouver,809,CA
711Lmould,1600251,REST_MGR,America/Vancouver,824,CA
2291AGRACE,1461163,ASSOCIATE,America/Toronto,843,CA
0858CBell,1765046,ASSOCIATE,America/Regina,858,CA
0907MarilouT,1636042,ASSOCIATE,America/Montreal,907,CA
909rodas,1722031,ASSOCIATE,America/Toronto,909,CA
0958marie,1677345,ASSOCIATE,America/Edmonton,958,CA
manraj@timhortons,1797665,ASSOCIATE,America/Toronto,960,CA
0973hsingh,1517850,ASSOCIATE,America/Edmonton,973,CA
1007BFAYLE,1622376,ASSOCIATE,America/Toronto,1007,CA
1043kaylie,1803605,ASSOCIATE,America/Halifax,1043,CA
1058ian,1623882,ASSOCIATE,America/Toronto,1058,CA
1073Hgonzales,1781763,ASSOCIATE,America/Winnipeg,1073,CA
1107TGMartin,1771325,ASSOCIATE,America/Halifax,1107,CA
amandeepke,1533801,ASSOCIATE,America/Toronto,1109,CA
SConacher1124,1738111,ASSOCIATE,America/Toronto,1124,CA
01143jpalada,1802113,ASSOCIATE,America/Edmonton,1143,CA
Beaudrie-Kyle0013,1245881,ASSOCIATE,America/Toronto,1158,CA
1160bkeizer,1775570,ASSOCIATE,America/Halifax,1160,CA
1207AliviaOConnell,1464081,ASSOCIATE,America/Halifax,1207,CA
1209smenkveld,1722624,ASSOCIATE,America/Toronto,1209,CA
3351Sgurpreet,1715030,ASSOCIATE,America/Vancouver,1224,CA
1258mgrewal,1814022,ASSOCIATE,America/Vancouver,1258,CA
1260Priyank,1501383,ASSOCIATE,America/Toronto,1260,CA
1294michelle,1713733,ASSOCIATE,America/Moncton,1294,CA
4423afrederick,1634367,ASSOCIATE,America/Montreal,1309,CA
1394MGascon,1718649,SHIFT_LDR,America/Vancouver,1394,CA
0930CarolD,139584,ASSOCIATE,America/Toronto,1424,CA
1458Reema,1722813,ASSOCIATE,America/Edmonton,1458,CA
1460smelanson,1554951,ASSOCIATE,America/Halifax,1460,CA
1494msiddiq,1674626,ASSOCIATE,America/Toronto,1494,CA
1509Alan,1785974,ASSOCIATE,America/Toronto,1509,CA
2891DPereira,104648,ASSISTANT_MGR,America/Toronto,1543,CA
1558nkaur,1709038,ASSOCIATE,America/Vancouver,1558,CA
1560Jyotij,1620802,SHIFT_LDR,America/Toronto,1560,CA
1594AKesavan,1779451,ASSOCIATE,America/Toronto,1594,CA
1263NProvost,165255,ASSOCIATE,America/Edmonton,1643,CA
hermedonasco,1767719,ASSOCIATE,America/Edmonton,1645,CA
1660KGanesathasan,189735,ASSOCIATE,America/Toronto,1660,CA
1199lovejot,1630944,ASSOCIATE,America/Montreal,1694,CA
1709EPalafox,194771,SHIFT_LDR,America/Toronto,1709,CA
1742HMcGill,1742777,ASSOCIATE,America/Halifax,1743,CA
0073lfahringer,1401450,ASSOCIATE,America/Toronto,1745,CA
1760Cmangilin,1573617,ASSOCIATE,America/Edmonton,1760,CA
1794bsingh,1663631,ASSOCIATE,America/Toronto,1794,CA
1809ACalma,1563635,ASSOCIATE,America/Toronto,1809,CA
1845LLebouthillier,1543963,ASSOCIATE,America/Moncton,1845,CA
MyriamPatry1860,1815310,ASSOCIATE,America/Montreal,1860,CA
1879Irene,1772012,ASSOCIATE,America/Edmonton,1879,CA
1894Johndarrel,1799334,ASSOCIATE,America/Toronto,1894,CA
1909Yoso,297238,ASSOCIATE,America/Toronto,1909,CA
JGilbert,1754922,ASSOCIATE,America/Vancouver,1945,CA
DebbyLafee13,227002,ASSOCIATE,America/Toronto,13,CA
0046IAli,1820938,ASSOCIATE,America/Toronto,46,CA
0063MAARUP,287661,REST_MGR,America/Toronto,63,CA
JWafula,1817150,ASSOCIATE,America/Toronto,64,CA
0186RCrawley,214562,ASSOCIATE,America/Halifax,81,CA
0114JLacey,1776180,ASSOCIATE,America/St_Johns,114,CA
0149WBurns,152562,ASSOCIATE,America/Moncton,149,CA
2898Lbartiquin,1809983,ASSOCIATE,America/Moncton,182,CA
JOakley196,294903,MUM,America/Montreal,196,CA
0246DHand,1707152,ASSOCIATE,Canada/Eastern,246,CA
1790CWayon,1523939,MUM,America/Toronto,281,CA
314bmcclellan,1751837,ASSOCIATE,America/Toronto,314,CA
0331CDessires,153546,ASSOCIATE,America/Toronto,331,CA
0332AKaur,1736702,ASSOCIATE,America/Toronto,332,CA
2518Sstang,155011,ASSOCIATE,America/Edmonton,349,CA
0382JenniferO'Neil,1796328,ASSOCIATE,America/St_Johns,382,CA
0396kaylam,1501052,ASSOCIATE,America/Toronto,396,CA
399etingey,1791700,ASSOCIATE,America/Toronto,399,CA
0400TGarnier,101515,REST_MGR,America/Halifax,400,CA
0450Dimple,1819611,ASSOCIATE,America/Toronto,450,CA
0463RJamisola,280431,ASSOCIATE,America/Vancouver,463,CA
0481jkaur,1812709,ASSOCIATE,America/Halifax,481,CA
0514mkenney,282235,ASSOCIATE,America/Halifax,514,CA
2684tram,1691901,SHIFT_LDR,America/Toronto,532,CA
0582CInkster,189156,ASSOCIATE,America/Toronto,582,CA
599AFarnsworth,1802405,ASSOCIATE,America/Toronto,599,CA
0600mdacosta,263933,ASSOCIATE,America/Toronto,600,CA
1931kalpana,1788245,ASSOCIATE,America/Toronto,617,CA
0664tako,1564382,ASSOCIATE,America/Toronto,664,CA
0667mrussell,1780388,ASSOCIATE,America/Halifax,667,CA
0681IRaymondcallaghan,140097,ASSOCIATE,America/Moncton,681,CA
3348boyang,1052813,ASSISTANT_MGR,America/Toronto,714,CA
0731fcseh,1815371,ASSOCIATE,America/Toronto,731,CA
0732SSaldivar,184490,ASSOCIATE,America/Toronto,732,CA
0749ncumming,1817915,ASSOCIATE,America/Moncton,749,CA
Combojwright,1814055,ASSOCIATE,Canada/Atlantic,800,CA
0817rjamal,1562649,ASSOCIATE,America/Toronto,817,CA
0867djohnstone,1599936,ASSOCIATE,America/Vancouver,867,CA
0868galferez,1517017,ASSOCIATE,America/Vancouver,868,CA
0918alexlussier,1670374,ASSOCIATE,America/Toronto,918,CA
100931molly,1424835,SHIFT_LDR,America/Halifax,931,CA
0932JLundy,1431394,ASSOCIATE,America/Toronto,932,CA
0982AMaclennon,1768720,ASSOCIATE,America/Toronto,982,CA
0999MBantten,1304825,ASSOCIATE,America/Toronto,999,CA
4387Lucas,1678882,ASSOCIATE,America/Toronto,1000,CA
